page,row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
96,14,Strandgard & Mitchell (2018),Eucalyptus globulus,"10,5",*(0.06-0.21) m³,*(105-167) mm,Good Load-Bearing,No Obstacles To The,<5°,1,
96,15,,,,,,Capacity,Movements Of The,,,
96,16,,,,,,,Harvesting Machines,,,
96,17,Strandgard & Mitchell (2019),Pinus radiata,29,1.2 m³,*(389-396) mm,Duplex Sandy Gravel,-,≤5°,-,
96,18,Strandgard & Mitchell (2020),Pinus radiata,29,*(0.90-0.95) m³,*(326-343) mm,-,-,<15°,-,
96,19,Strandgard et al. (2016),Eucalyptus globulus,11.5 *(8.5-,0.26 *(0.13-0.46) m³,188 *(152-245) mm,-,Few Obstructions,<5°,24,
96,20,,,14.0),,,,,,,
96,21,Strandgard et al. (2015),Eucalyptus nitens,17,0.18 (0-1.58) m³,18.0 (4.7-47.0) cm,Stable Ground And Basalt,-,<5°,1,
96,22,,,,,,Soils,,,,
96,23,Tajbos & Messingerova (2014),"Spruce , Fir, Larch, Birch",*(25-40),*(0.01-0.36) m³,*(6-21) cm,-,-,*(15-40)%,-,
96,24,Tolosana et al. (2023),"Eucalyptus globulus,",-,*(10.2-17.5) oven dry ton,*(9.0-12.4) cm,-,-,-,-,
96,25,,"Quercus suber, Pinus",,kg,,,,,,
96,26,,pinaster,,,,,,,,
97,1,Tolosana et al. (2018),"Quercus ilex, Quercus",>35,"(7.4-22.5) kg, dry weight",*(5.7-7.1) cm,Dry Sandy Soils,-,Flat,-,
97,2,,pyrenaica,,,,,,,,
97,3,Townsend et al. (2019),"Pinus ponderosa,",-,-,"*(22.9-30.7) cm, quadratic",-,-,*(7-15)%,-,
97,4,,"Pseudotsuga menziesii,",,,mean diameter,,,,,
97,5,,"Abies concolor, Quercus",,,,,,,,
97,6,,"gambelii, Populus",,,,,,,,
97,7,,tremuloides,,,,,,,,
97,8,Walsh & Strandgard (2014),Pinus Radiata,34,*(2.24-2.80) m³,*(49.9-53.6) cm,-,No Obstacles Or,Flat Terrain,-,
97,9,,,,,,,Rocks,,,
97,10,Walsh et al. (2014),Radiata pine,34,2.1 m³,*(49.7-50.0) cm,-,No Obstacles Or,Flat,-,
97,11,,,,,,,Rocks,,,
97,12,Williams & Ackerman (2016),Pinus elliottii,*(21-26),*(0.99-1.10) m³,"*(35.99-37.50), (22.0-57.5) cm","*(2-3, 2-4, 3-5) - Erasmus",1 - Erasmus (1994),*(0-10)%,1,
97,13,,,,,,(1994),,,,
97,14,Zimelis et al. (2020),"Pine, Spruce, Birch, Aspen,",-,-,10 (3-30) cm,-,-,-,-,
97,15,,"Black alder, Grey alder,",,,,,,,,
97,16,,"Hard deciduous, Soft",,,,,,,,
97,17,,deciduous,,,,,,,,
97,18,Zimelis et al. (2018),"Norway spruce, Scots pine,",-,*(0.02-0.10) m³,*(4-13) cm,-,-,-,1,
97,19,,Deciduous trees,,,,,,,,
97,20,Zimelis et al. (2019),-,-,-,(1-20) cm,-,-,-,-,
97,21,Zimelis et al. (2017a),"Spruce, Birch, Pine",-,-,-,-,-,-,-,
97,22,Zimelis et al. (2017b),"Pine, Spruce, Birch",*(18-67),*(0.045-0.085) m³,"11 *(8.8-16.2) cm, tree",-,-,-,-,
97,23,,,,,diameter,,,,,
97,24,Zimelis & Spalva (2022),Scarred aspen,-,0.11 m³,12.2 cm,-,-,-,-,
97,25,Zimelis et al. (2016),"Pine, Spruce, Deciduous",-,0.28 m³,-,-,-,-,-,
